4,18;5;4,36;5,087;;
4,2;5;4,41;5,0595;;
4,22;5;4,42;5,054;;
4,24;5;4,42;5,054;;
4,26;5;4,3;5,12;;
4,28;5;4,38;5,076;;
4,3;5;4,35;5,0925;;
4,32;5;4,41;5,0595;;
4,34;5;4,34;5,098;;
4,36;5;4,36;5,087;;
4,38;5;4,4;5,065;;
4,4;5;4,43;5,0485;;
4,42;5;4,39;5,0705;;
4,44;5;4,35;5,0925;;
4,46;5;4,33;5,1035;;
4,48;5;4,4;5,065;;
4,5;5;4,37;5,0815;;
4,52;5;4,43;5,0485;;
4,54;5;4,37;5,0815;;
4,56;5;4,38;5,076;;
4,58;5;4,36;5,087;;
4,6;5;4,4;5,065;;
4,62;5;4,33;5,1035;;
4,64;5;4,38;5,076;;
4,66;5;4,44;5,043;;
4,68;5;4,44;5,043;;
4,7;5;4,36;5,087;;
4,72;5;4,4;5,065;;
4,74;5;4,38;5,076;;
4,76;5;4,35;5,0925;;
4,78;5;4,43;5,0485;;
4,8;5;4,4;5,065;;
4,82;5;4,36;5,087;;
4,84;5;4,37;5,0815;;
4,86;5;4,43;5,0485;;
4,88;5;4,38;5,076;;
4,9;5;4,4;5,065;;
4,92;5;4,33;5,1035;;
4,94;5;4,38;5,076;;
4,96;5;4,44;5,043;;
4,98;5;4,43;5,0485;;
5;-5;4,35;4,5425;;
5,02;-5;4,41;4,5095;;
5,04;-5;4,25;4,5975;;
5,06;-5;4,17;4,6415;;
5,08;-5;4,06;4,702;;
5,1;-5;4,1;4,68;;
5,12;-5;4,11;4,6745;;
5,14;-5;4,14;4,658;;
5,16;-5;4,1;4,68;;
5,18;-5;4,04;4,713;;
5,2;-5;4,13;4,6635;;
5,22;-5;4,08;4,691;;
5,24;-5;4,09;4,6855;;
5,26;-5;4,05;4,7075;;
5,28;-5;4,07;4,6965;;
5,3;-5;4,08;4,691;;
5,32;-5;4,13;4,6635;;
5,34;-5;4,12;4,669;;
5,36;-5;4,1;4,68;;
5,38;-5;4,06;4,702;;
5,4;-5;4,07;4,6965;;
5,42;-5;4,1;4,68;;
5,44;-5;4,14;4,658;;
5,46;-5;4,13;4,6635;;
5,48;-5;4,08;4,691;;
5,5;-5;4,07;4,6965;;
5,52;-5;4;4,735;;
5,54;-5;4,07;4,6965;;
5,56;-5;4,05;4,7075;;
5,58;-5;4,12;4,669;;
5,6;-5;4,13;4,6635;;
5,62;-5;4,16;4,647;;
5,64;-5;4,13;4,6635;;
5,66;-5;4,04;4,713;;
5,68;-5;4,04;4,713;;
5,7;-5;4,1;4,68;;
5,72;-5;4,13;4,6635;;
5,74;-5;4,13;4,6635;;
5,76;-5;4,09;4,6855;;
5,78;-5;4,09;4,6855;;
5,8;-5;4,12;4,669;;
5,82;-5;4,11;4,6745;;
5,84;-5;4,1;4,68;;
5,86;-5;4,09;4,6855;;
5,88;-5;4,1;4,68;;
5,9;-5;4,13;4,6635;;
5,92;-5;4,14;4,658;;
5,94;-5;4,05;4,7075;;
5,96;-5;4,02;4,724;;
5,98;-5;4,05;4,7075;;
6;5;4,11;5,2245;;
6,02;5;4,14;5,208;;
6,04;5;4,23;5,1585;;
6,06;5;4,31;5,1145;;
6,08;5;4,26;5,142;;
6,1;5;4,3;5,12;;
6,12;5;4,36;5,087;;
6,14;5;4,41;5,0595;;
6,16;5;4,36;5,087;;
6,18;5;4,34;5,098;;
6,2;5;4,4;5,065;;
6,22;5;4,38;5,076;;
6,24;5;4,39;5,0705;;
6,26;5;4,36;5,087;;
6,28;5;4,34;5,098;;
6,3;5;4,41;5,0595;;
6,32;5;4,43;5,0485;;
6,34;5;4,37;5,0815;;
6,36;5;4,29;5,1255;;
6,38;5;4,34;5,098;;
6,4;5;4,39;5,0705;;
6,42;5;4,4;5,065;;
6,44;5;4,36;5,087;;
6,46;5;4,35;5,0925;;
6,48;5;4,39;5,0705;;
6,5;5;4,37;5,0815;;
6,52;5;4,41;5,0595;;
6,54;5;4,39;5,0705;;
6,56;5;4,35;5,0925;;
6,58;5;4,38;5,076;;
6,6;5;4,39;5,0705;;
6,62;5;4,36;5,087;;
6,64;5;4,32;5,109;;
6,66;5;4,35;5,0925;;
6,68;5;4,42;5,054;;
6,7;5;4,36;5,087;;
6,72;5;4,4;5,065;;
6,74;5;4,39;5,0705;;
6,76;5;4,36;5,087;;
6,78;5;4,4;5,065;;
6,8;5;4,44;5,043;;
6,82;5;4,35;5,0925;;
6,84;5;4,38;5,076;;
6,86;5;4,39;5,0705;;
6,88;5;4,36;5,087;;
6,9;5;4,36;5,087;;
6,92;5;4,4;5,065;;
6,94;5;4,37;5,0815;;
6,96;5;4,38;5,076;;
6,98;5;4,39;5,0705;;
7;-5;4,31;4,5645;;
7,02;-5;4,35;4,5425;;
7,04;-5;4,35;4,5425;;
7,06;-5;4,22;4,614;;
7,08;-5;4,18;4,636;;
7,1;-5;4,13;4,6635;;
7,12;-5;3,99;4,7405;;
7,14;-5;4,07;4,6965;;
7,16;-5;4,06;4,702;;
7,18;-5;4,07;4,6965;;
7,2;-5;4,08;4,691;;
7,22;-5;4,14;4,658;;
7,24;-5;4,12;4,669;;
7,26;-5;4,08;4,691;;
7,28;-5;4,05;4,7075;;
7,3;-5;4,1;4,68;;
7,32;-5;4,1;4,68;;
7,34;-5;4,06;4,702;;
7,36;-5;4,05;4,7075;;
7,38;-5;4,1;4,68;;
7,4;-5;4,09;4,6855;;
7,42;-5;4,04;4,713;;
7,44;-5;4,04;4,713;;
7,46;-5;4,07;4,6965;;
7,48;-5;4,13;4,6635;;
7,5;-5;4,15;4,6525;;
7,52;-5;4,14;4,658;;
7,54;-5;4,11;4,6745;;
7,56;-5;4,08;4,691;;
7,58;-5;4,09;4,6855;;
7,6;-5;4,07;4,6965;;
7,62;-5;4,1;4,68;;
7,64;-5;4,13;4,6635;;
7,66;-5;4,13;4,6635;;
7,68;-5;4,12;4,669;;
7,7;-5;4,06;4,702;;
7,72;-5;4,02;4,724;;
7,74;-5;4,03;4,7185;;
7,76;-5;4,13;4,6635;;
7,78;-5;4,13;4,6635;;
7,8;-5;4,14;4,658;;
7,82;-5;4,11;4,6745;;
7,84;-5;4,08;4,691;;
7,86;-5;4,04;4,713;;
7,88;-5;4,08;4,691;;
7,9;-5;4,06;4,702;;
7,92;-5;4,07;4,6965;;
7,94;-5;4,1;4,68;;
7,96;-5;4,13;4,6635;;
7,98;-5;4,11;4,6745;;
